iter	Logloss
138	0.1225851234
139	0.1224665598
140	0.1223305479
141	0.1221932717
142	0.1221064494
143	0.122022258
144	0.1219588393
145	0.1217941001
146	0.1215062113
147	0.1212647055
148	0.1211735517
149	0.1211188317
150	0.1210666911
151	0.1209921938
152	0.1209236682
153	0.1208357423
154	0.1206420884
155	0.1205132344
156	0.1203212758
157	0.1201717026
158	0.1200702487
159	0.1198732335
160	0.1198156406
161	0.1197043737
162	0.1194995041
163	0.1193426474
164	0.1192892824
165	0.1192372996
166	0.1191306221
167	0.1189901729
168	0.1188958631
169	0.1188040244
170	0.118771478
171	0.1186139127
172	0.1185529268
173	0.1184087929
174	0.1183187079
175	0.118248842
176	0.1181889027
177	0.1181431017
178	0.1180579219
179	0.1179377073
180	0.1178859101
181	0.1177180504
182	0.1176562459
183	0.117622766
184	0.1173568159
185	0.1171564585
186	0.1170295811
187	0.1169812127
188	0.1168400818
189	0.1168003364
190	0.1167419903
191	0.116505559
192	0.1164336578
193	0.1162921467
194	0.1162641262
195	0.1161498218
196	0.1160575926
197	0.1158586423
198	0.1158188381
199	0.115780878
200	0.1157076992
201	0.1155830336
202	0.1154353159
203	0.1153664892
204	0.1153102165
205	0.1152364276
206	0.1150887104
207	0.1150175638
208	0.1149775995
209	0.1149457275
210	0.1148732815
211	0.1148129518
212	0.114720627
213	0.114685794
214	0.1146588971
215	0.1145803776
216	0.1145436707
217	0.1144459628
218	0.114413807
219	0.1143297525
220	0.1142749872
221	0.1142173069
222	0.114189293
223	0.114151843
224	0.1140799911
225	0.1140201706
226	0.1139781541
227	0.1139426586
228	0.1139090214
229	0.1138287052
230	0.1138006739
231	0.1137116121
232	0.113670961
233	0.1136388551
234	0.1135898167
235	0.1135564424
236	0.1135150635
237	0.1134679858
238	0.1134276242
239	0.1133895484
240	0.1133513846
241	0.1133064856
242	0.1132040152
243	0.1131217939
244	0.1130932443
245	0.1130209363
246	0.1129962228
247	0.1129764175
248	0.1128869962
249	0.1128585376
250	0.1127714879
251	0.1126655487
252	0.1126132392
253	0.1125542896
254	0.1125222133
255	0.1124376758
256	0.1124122458
257	0.1123884601
258	0.1123364698
259	0.1123067109
260	0.1122675411
261	0.1121772732
262	0.1121472111
263	0.1120687361
264	0.1120151177
265	0.1119441498
266	0.111910957
267	0.1118231423
268	0.1117850559
269	0.1117474119
270	0.1116813954
271	0.1116665918
272	0.1116379603
273	0.1115992377
274	0.1115483597
275	0.1114592255
276	0.1113748799
277	0.111353006
278	0.1113066746
279	0.1112887461
280	0.1112734615
281	0.1112506122
282	0.1112000081
283	0.111162562
284	0.111126619
285	0.1110804616
286	0.1110263478
287	0.1109738338
288	0.1109331182
289	0.1108867202
290	0.1108523045
291	0.1108293943
292	0.1107963322
293	0.1107739114
294	0.1107517917
295	0.1107196532
296	0.1106993667
297	0.1106472785
298	0.1105811653
299	0.1105228732
300	0.1104948632
301	0.1104614789
302	0.1104200323
303	0.1103825196
304	0.1103578185
305	0.1103366014
306	0.1103062353
307	0.1102855813
308	0.1102537357
309	0.1102336775
310	0.1102027671
311	0.110174254
312	0.1101196633
313	0.110086847
314	0.110072017
315	0.1100514207
316	0.1100334711
317	0.1100109421
318	0.1099825858
319	0.1099673651
320	0.1099427978
321	0.1098836292
322	0.1098658355
323	0.1098107583
324	0.109762391
325	0.1097199845
326	0.109669535
327	0.1096019241
328	0.1095794436
329	0.1094886627
330	0.109439797
331	0.1094260293
332	0.1094026803
333	0.1093662171
334	0.10924205
335	0.1092021699
336	0.1091764427
337	0.1091168675
338	0.1090940656
339	0.1090543183
340	0.1090107986
341	0.1089770161
342	0.1089591806
343	0.1089266164
344	0.108897794
345	0.1088347889
346	0.108812225
347	0.1087949414
348	0.1087570536
349	0.1087127778
350	0.1086922603
351	0.108640695
352	0.1086183628
353	0.1085997922
354	0.1085629527
355	0.1085495931
356	0.1084884405
357	0.1084333255
358	0.1083859588
359	0.1083662813
360	0.1083364575
361	0.1082826347
362	0.1082628201
363	0.1082201342
364	0.1081708205
365	0.1081492501
366	0.1081271535
367	0.1081126452
368	0.1080831841
369	0.1080555293
370	0.1080232312
371	0.107956893
372	0.1079308678
373	0.1078856922
374	0.1078524039
375	0.1078280388
376	0.1077806945
377	0.107763002
378	0.1077175669
379	0.1076962057
380	0.107665593
381	0.1076264002
382	0.1076137901
383	0.1075965681
384	0.1075675245
385	0.1075414024
386	0.10752322
387	0.1074610273
388	0.1074319479
389	0.1073992273
390	0.107363336
391	0.1073183479
392	0.1072933281
393	0.1072315269
394	0.1071989119
395	0.1071474899
396	0.1070723377
397	0.1070278368
398	0.1069980398
399	0.1069273168
400	0.1069049907
401	0.1068708981
402	0.1068358635
403	0.1068143276
404	0.1067752637
405	0.1067327059
406	0.1066998975
407	0.1066829308
408	0.1066076003
409	0.1065816959
410	0.1065534784
411	0.1065144523
412	0.1064454581
413	0.1064081651
414	0.1063736847
415	0.1063291451
416	0.1063025563
417	0.1062800974
418	0.1062417655
419	0.1062264263
420	0.1061576851
421	0.1061055482
422	0.1060696529
423	0.1060569632
424	0.1060141691
425	0.1059857787
426	0.1059607629
427	0.1059323348
428	0.1059089675
429	0.1058707581
430	0.1058405132
431	0.1057859789
432	0.1057467038
433	0.1057168676
434	0.1056905132
435	0.1056735725
436	0.1056474593
437	0.1056228844
438	0.1056016769
439	0.1055747581
440	0.1055472343
441	0.1055150874
442	0.1054724749
443	0.1054032161
444	0.1053582538
445	0.1053298357
446	0.105280088
447	0.1052632618
448	0.1052328788
449	0.1052007644
450	0.1051822868
451	0.1051158422
452	0.1050862512
453	0.1050678956
454	0.1050420797
455	0.1050257008
456	0.1050074323
457	0.1049859316
458	0.1049729622
459	0.1049035821
460	0.1048562405
461	0.1048049007
462	0.1047848102
463	0.1047680725
464	0.1047130106
465	0.104653534
466	0.1045579522
467	0.1045344877
468	0.1045077154
469	0.1044821118
470	0.1044526017
471	0.1044139475
472	0.1043767039
473	0.1043629133
474	0.1042990919
475	0.1042787334
476	0.1042514704
477	0.1042279604
478	0.1042015363
479	0.1041797939
480	0.1041386053
481	0.1041207725
482	0.1040944134
483	0.1040259056
484	0.1039705144
485	0.1039557087
486	0.1039078898
487	0.1038686095
488	0.1038391709
489	0.1037985176
490	0.103774406
491	0.1037076878
492	0.1036927753
493	0.1036454831
494	0.103621531
495	0.1036038942
496	0.1035682046
497	0.1035522112
498	0.1034725341
499	0.1034364418
500	0.1033774134
501	0.1033479329
502	0.1033142045
503	0.1032830211
504	0.1032588982
505	0.1032356058
506	0.1032153257
507	0.1031961388
508	0.1031700217
509	0.1031533362
510	0.1031384732
511	0.1031124157
512	0.1030868239
513	0.103057772
514	0.103019665
515	0.1029830176
516	0.1029649368
517	0.1029339732
518	0.1029126891
519	0.1028891919
520	0.1028714382
521	0.1028620161
522	0.1028459035
523	0.1028250507
524	0.102810574
525	0.1027529752
526	0.1027291709
527	0.1027083295
528	0.1026799862
529	0.1026591423
530	0.102643814
531	0.1026281589
532	0.1026141684
533	0.1025948436
534	0.102526877
535	0.1025068119
536	0.1024872245
537	0.1024623767
538	0.1024443353
539	0.1024248466
540	0.1024042754
541	0.1023842211
542	0.1023495382
543	0.1023357335
544	0.1022589922
545	0.1022338292
546	0.1021972208
547	0.1021696938
548	0.1021403847
549	0.1020951768
550	0.102078034
551	0.1020418409
552	0.1020154056
553	0.1019974453
554	0.1019799606
555	0.101932435
556	0.1019000871
557	0.1018794573
558	0.101853126
559	0.1018289918
560	0.1018082321
561	0.1017937518
562	0.1017726642
563	0.1017359612
564	0.1017218781
565	0.1016997433
566	0.1016705313
567	0.1016373186
568	0.1016251543
569	0.1016106951
570	0.1015892149
571	0.1015671268
572	0.1015383957
573	0.1015136923
574	0.1014820403
575	0.101446739
576	0.1014236718
577	0.1013985589
578	0.1013668801
579	0.1013397744
580	0.1012891887
581	0.101242713
582	0.1012175312
583	0.1011827288
584	0.1011656189
585	0.1011506432
586	0.1011329716
587	0.1011178555
588	0.101098165
589	0.1010710405
590	0.1010486928
591	0.1010266547
592	0.100974393
593	0.1009514685
594	0.1009201652
595	0.1008942836
596	0.1008754389
597	0.1008534458
598	0.1008399298
599	0.1008263157
