iter	Logloss
0	0.6497502816
1	0.5979267132
2	0.5548210146
3	0.5228226873
4	0.4918314107
5	0.4632677408
6	0.4380657135
7	0.4096241516
8	0.3910315126
9	0.3741735222
10	0.3502793785
11	0.3324010946
12	0.3205545085
13	0.3095356461
14	0.2964986809
15	0.2866760566
16	0.278582625
17	0.270650821
18	0.2630851373
19	0.2531269508
20	0.2457305209
21	0.2401434657
22	0.2332440134
23	0.2267519759
24	0.2232023351
25	0.2197238306
26	0.2144105875
27	0.2099140092
28	0.2062347687
29	0.201357699
30	0.1974778154
31	0.1955241205
32	0.1924784634
33	0.1902600043
34	0.1876560827
35	0.1854393564
36	0.1839175429
37	0.1818265055
38	0.1796031287
39	0.1783412413
40	0.1760913899
41	0.1749222187
42	0.1736656316
43	0.1724952002
44	0.1716444619
45	0.1693259589
46	0.1686568414
47	0.1669515505
48	0.1655904287
49	0.164339908
50	0.1633487854
51	0.1620620619
52	0.1610853902
53	0.1603462286
54	0.159730837
55	0.158642473
56	0.1573405783
57	0.1565124666
58	0.1555537749
59	0.1541416745
60	0.1537635859
61	0.1525380049
62	0.1513477197
63	0.1506012886
64	0.1501682215
65	0.1487435273
66	0.1481608159
67	0.1478302407
68	0.1468221573
69	0.1460341109
70	0.1449640988
71	0.1437732237
72	0.1430118975
73	0.1426290329
74	0.1420377714
75	0.1415536216
76	0.1411648003
77	0.1406542805
78	0.1402297792
79	0.139608099
80	0.1388171489
81	0.1377795233
82	0.137576727
83	0.1372863419
84	0.136990601
85	0.136771871
86	0.1362219297
87	0.1359373309
88	0.1357141599
89	0.1353121977
90	0.1351116153
91	0.1345026512
92	0.1341851793
93	0.1336378203
94	0.1334725561
95	0.1331703052
96	0.1327361611
97	0.1322438919
98	0.1317102484
99	0.1314779137
100	0.1311572228
101	0.1307119311
102	0.1305589669
103	0.1301359284
104	0.1297697696
105	0.1294438731
106	0.1289852958
107	0.1286241123
108	0.1284530062
109	0.1280964394
110	0.1278189341
111	0.1274823281
112	0.1273133523
113	0.127023121
114	0.1267301704
115	0.1264266055
116	0.1260443965
117	0.1258127972
118	0.1255088919
119	0.1252706374
120	0.1250277941
121	0.1248308702
122	0.1247534792
123	0.1244819316
124	0.1242501185
125	0.1240896017
126	0.1239617704
127	0.1238745509
128	0.123759762
129	0.1236720986
130	0.1235695279
131	0.123454859
132	0.1233419096
133	0.1232330479
134	0.1231180823
135	0.1229955667
136	0.1228762506
137	0.1226930098
